Authors,Primary Category,Published,Summary,Title,Updated
"Jean-Baptiste Lamy, Anis Ellini, Vahid Ebrahiminia, Jean-Daniel Zucker, Hector Falcoff, Alain Venot",AI,2013,"Well-designed medical decision support system (DSS) have been shown to
improve health care quality. However, before they can be used in real clinical
situations, these systems must be extensively tested, to ensure that they
conform to the clinical guidelines (CG) on which they are based. Existing
methods cannot be used for the systematic testing of all possible test cases.
We describe here a new exhaustive dynamic verification method. In this method,
the DSS is considered to be a black box, and the Quinlan C4.5 algorithm is used
to build a decision tree from an exhaustive set of DSS input vectors and
outputs. This method was successfully used for the testing of a medical DSS
relating to chronic diseases: the ASTI critiquing module for type 2 diabetes.",Use of the C4.5 machine learning algorithm to test a clinical guideline-based decision support system,2013
"Andreas Krause, Carlos Guestrin",AI,2014,"Many real-world decision making tasks require us to choose among several
expensive observations. In a sensor network, for example, it is important to
select the subset of sensors that is expected to provide the strongest
reduction in uncertainty. In medical decision making tasks, one needs to select
which tests to administer before deciding on the most effective treatment. It
has been general practice to use heuristic-guided procedures for selecting
observations. In this paper, we present the first efficient optimal algorithms
for selecting observations for a class of probabilistic graphical models. For
example, our algorithms allow to optimally label hidden variables in Hidden
Markov Models (HMMs). We provide results for both selecting the optimal subset
of observations, and for obtaining an optimal conditional observation plan.
  Furthermore we prove a surprising result: In most graphical models tasks, if
one designs an efficient algorithm for chain graphs, such as HMMs, this
procedure can be generalized to polytree graphical models. We prove that the
optimizing value of information is $NP^{PP}$-hard even for polytrees. It also
follows from our results that just computing decision theoretic value of
information objective functions, which are commonly used in practice, is a
#P-complete problem even on Naive Bayes models (a simple special case of
polytrees).
  In addition, we consider several extensions, such as using our algorithms for
scheduling observation selection for multiple sensors. We demonstrate the
effectiveness of our approach on several real-world datasets, including a
prototype sensor network deployment for energy conservation in buildings.",Optimal Value of Information in Graphical Models,2014
"Ruijie He, Emma Brunskill, Nicholas Roy",AI,2014,"Deciding how to act in partially observable environments remains an active
area of research. Identifying good sequences of decisions is particularly
challenging when good control performance requires planning multiple steps into
the future in domains with many states. Towards addressing this challenge, we
present an online, forward-search algorithm called the Posterior Belief
Distribution (PBD). PBD leverages a novel method for calculating the posterior
distribution over beliefs that result after a sequence of actions is taken,
given the set of observation sequences that could be received during this
process. This method allows us to efficiently evaluate the expected reward of a
sequence of primitive actions, which we refer to as macro-actions. We present a
formal analysis of our approach, and examine its performance on two very large
simulation experiments: scientific exploration and a target monitoring domain.
We also demonstrate our algorithm being used to control a real robotic
helicopter in a target monitoring experiment, which suggests that our approach
has practical potential for planning in real-world, large partially observable
domains where a multi-step lookahead is required to achieve good performance.",Efficient Planning under Uncertainty with Macro-actions,2014
"Alexander Feldman, Gregory Provan, Arjan van Gemund",AI,2014,"Model-based diagnostic reasoning often leads to a large number of diagnostic
hypotheses. The set of diagnoses can be reduced by taking into account extra
observations (passive monitoring), measuring additional variables (probing) or
executing additional tests (sequential diagnosis/test sequencing). In this
paper we combine the above approaches with techniques from Automated Test
Pattern Generation (ATPG) and Model-Based Diagnosis (MBD) into a framework
called FRACTAL (FRamework for ACtive Testing ALgorithms). Apart from the inputs
and outputs that connect a system to its environment, in active testing we
consider additional input variables to which a sequence of test vectors can be
supplied. We address the computationally hard problem of computing optimal
control assignments (as defined in FRACTAL) in terms of a greedy approximation
algorithm called FRACTAL-G. We compare the decrease in the number of remaining
minimal cardinality diagnoses of FRACTAL-G to that of two more FRACTAL
algorithms: FRACTAL-ATPG and FRACTAL-P. FRACTAL-ATPG is based on ATPG and
sequential diagnosis while FRACTAL-P is based on probing and, although not an
active testing algorithm, provides a baseline for comparing the lower bound on
the number of reachable diagnoses for the FRACTAL algorithms. We empirically
evaluate the trade-offs of the three FRACTAL algorithms by performing extensive
experimentation on the ISCAS85/74XXX benchmark of combinational circuits.",A Model-Based Active Testing Approach to Sequential Diagnosis,2014
"Atif Ali Khan, Oumair Naseer, Daciana Iliescu, Evor Hines",AI,2014,"One of the defining characteristic of human being is their ability to walk
upright. Loss or restriction of such ability whether due to the accident, spine
problem, stroke or other neurological injuries can cause tremendous stress on
the patients and hence will contribute negatively to their quality of life.
Modern research shows that physical exercise is very important for maintaining
physical fitness and adopting a healthier life style. In modern days treadmill
is widely used for physical exercises and training which enables the user to
set up an exercise regime that can be adhered to irrespective of the weather
conditions. Among the users of treadmills today are medical facilities such as
hospitals, rehabilitation centres, medical and physiotherapy clinics etc. The
process of assisted training or doing rehabilitation exercise through treadmill
is referred to as treadmill therapy. A modern treadmill is an automated machine
having built in functions and predefined features. Most of the treadmills used
today are one dimensional and user can only walk in one direction. This paper
presents the idea of using omnidirectional treadmills which will be more
appealing to the patients as they can walk in any direction, hence encouraging
them to do exercises more frequently. This paper proposes a fuzzy control
design and possible implementation strategy to assist patients in treadmill
therapy. By intelligently controlling the safety belt attached to the treadmill
user, one can help them steering left, right or in any direction. The use of
intelligent treadmill therapy can help patients to improve their walking
ability without being continuously supervised by the specialists. The patients
can walk freely within a limited space and the support system will provide
continuous evaluation of their position and can adjust the control parameters
of treadmill accordingly to provide best possible assistance.",Fuzzy Controller Design for Assisted Omni-Directional Treadmill Therapy,2014
Garimella Rama Murthy,AI,2014,"Motivated by the application problem of sensor fusion the author introduced
the concept of graded set. It is reasoned that in classification problem
arising in an information system (represented by information table), a novel
set called Granular set naturally arises. It is realized that in any
hierarchical classification problem, Granular set naturally arises. Also when
the target set of objects forms a graded set the lower and upper approximations
of target sets form a graded set. This generalizes the concept of rough set. It
is hoped that a detailed theory of granular/ graded sets finds several
applications.",Towards a theory of granular sets,2014
"Enrico De Santis, Lorenzo Livi, Alireza Sadeghian, Antonello Rizzi",AI,2014,"Detecting faults in electrical power grids is of paramount importance, either
from the electricity operator and consumer viewpoints. Modern electric power
grids (smart grids) are equipped with smart sensors that allow to gather
real-time information regarding the physical status of all the component
elements belonging to the whole infrastructure (e.g., cables and related
insulation, transformers, breakers and so on). In real-world smart grid
systems, usually, additional information that are related to the operational
status of the grid itself are collected such as meteorological information.
Designing a suitable recognition (discrimination) model of faults in a
real-world smart grid system is hence a challenging task. This follows from the
heterogeneity of the information that actually determine a typical fault
condition. The second point is that, for synthesizing a recognition model, in
practice only the conditions of observed faults are usually meaningful.
Therefore, a suitable recognition model should be synthesized by making use of
the observed fault conditions only. In this paper, we deal with the problem of
modeling and recognizing faults in a real-world smart grid system, which
supplies the entire city of Rome, Italy. Recognition of faults is addressed by
following a combined approach of multiple dissimilarity measures customization
and one-class classification techniques. We provide here an in-depth study
related to the available data and to the models synthesized by the proposed
one-class classifier. We offer also a comprehensive analysis of the fault
recognition results by exploiting a fuzzy set based reliability decision rule.",Modeling and Recognition of Smart Grid Faults by a Combined Approach of Dissimilarity Learning and One-Class Classification,2014
Paolo Liberatore,AI,2014,"A common assumption in belief revision is that the reliability of the
information sources is either given, derived from temporal information, or the
same for all. This article does not describe a new semantics for integration
but the problem of obtaining the reliability of the sources given the result of
a previous merging. As an example, the relative reliability of two sensors can
be assessed given some certain observation, and allows for subsequent mergings
of data coming from them.",Belief revision by examples,2014
"Marjan Alirezaie, Amy Loutfi",AI,2014,"In this paper an ontological representation and reasoning paradigm has been
proposed for interpretation of time-series signals. The signals come from
sensors observing a smart environment. The signal chosen for the annotation
process is a set of unintuitive and complex gas sensor data. The ontology of
this paradigm is inspired form the SSN ontology (Semantic Sensor Network) and
used for representation of both the sensor data and the contextual information.
The interpretation process is mainly done by an incremental ASP solver which as
input receives a logic program that is generated from the contents of the
ontology. The contextual information together with high level domain knowledge
given in the ontology are used to infer explanations (answer sets) for changes
in the ambient air detected by the gas sensors.",Reasoning for Improved Sensor Data Interpretation in a Smart Home,2014
"Denis Kleyko, Evgeny Osipov, Alexander Senior, Asad I. Khan, Y. Ahmet Şekercioğlu",AI,2015,"This article proposes the use of Vector Symbolic Architectures for
implementing Hierarchical Graph Neuron, an architecture for memorizing patterns
of generic sensor stimuli. The adoption of a Vector Symbolic representation
ensures a one-layered design for the approach, while maintaining the previously
reported properties and performance characteristics of Hierarchical Graph
Neuron, and also improving the noise resistance of the architecture. The
proposed architecture enables a linear (with respect to the number of stored
entries) time search for an arbitrary sub-pattern.",Holographic Graph Neuron: a Bio-Inspired Architecture for Pattern Processing,2015
"Alexander Artikis, Marek Sergot, Georgios Paliouras",AI,2015,"Systems for symbolic event recognition accept as input a stream of
time-stamped events from sensors and other computational devices, and seek to
identify high-level composite events, collections of events that satisfy some
pattern. RTEC is an Event Calculus dialect with novel implementation and
'windowing' techniques that allow for efficient event recognition, scalable to
large data streams. RTEC can deal with applications where event data arrive
with a (variable) delay from, and are revised by, the underlying sources. RTEC
can update already recognised events and recognise new events when data arrive
with a delay or following data revision. Our evaluation shows that RTEC can
support real-time event recognition and is capable of meeting the performance
requirements identified in a recent survey of event processing use cases.",Reactive Reasoning with the Event Calculus,2015
"Gerhard Brewka, Stefan Ellmauthaler, Jörg Pührer",AI,2015,"We show in this paper how managed multi-context systems (mMCSs) can be turned
into a reactive formalism suitable for continuous reasoning in dynamic
environments. We extend mMCSs with (abstract) sensors and define the notion of
a run of the extended systems. We then show how typical problems arising in
online reasoning can be addressed: handling potentially inconsistent sensor
input, modeling intelligent forms of forgetting, selective integration of
knowledge, and controlling the reasoning effort spent by contexts, like setting
contexts to an idle mode. We also investigate the complexity of some important
related decision problems and discuss different design choices which are given
to the knowledge engineer.",Multi-Context Systems for Reactive Reasoning in Dynamic Environments,2015
"Amit Sheth, Pramod Anantharam, Cory Henson",AI,2015,"The World Wide Web continues to evolve and serve as the infrastructure for
carrying massive amounts of multimodal and multisensory observations. These
observations capture various situations pertinent to people's needs and
interests along with all their idiosyncrasies. To support human-centered
computing that empower people in making better and timely decisions, we look
towards computation that is inspired by human perception and cognition. Toward
this goal, we discuss computing paradigms of semantic computing, cognitive
computing, and an emerging aspect of computing, which we call perceptual
computing. In our view, these offer a continuum to make the most out of vast,
growing, and diverse data pertinent to human needs and interests. We propose
details of perceptual computing characterized by interpretation and exploration
operations comparable to the interleaving of bottom and top brain processing.
  This article consists of two parts. First we describe semantic computing,
cognitive computing, and perceptual computing to lay out distinctions while
acknowledging their complementary capabilities. We then provide a conceptual
overview of the newest of these three paradigms--perceptual computing. For
further insights, we focus on an application scenario of asthma management
converting massive, heterogeneous and multimodal (big) data into actionable
information or smart data.","Semantic, Cognitive, and Perceptual Computing: Advances toward Computing for Human Experience",2015
Ehsan Lotfi,AI,2015,"The ozone level prediction is an important task of air quality agencies of
modern cities. In this paper, we design an ozone level alarm system (OLP) for
Isfahan city and test it through the real word data from 1-1-2000 to 7-6-2011.
We propose a computer based system with three inputs and single output. The
inputs include three sensors of solar ultraviolet (UV), total solar radiation
(TSR) and total ozone (O3). And the output of the system is the predicted O3 of
the next day and the alarm massages. A developed artificial intelligence (AI)
algorithm is applied to determine the output, based on the inputs variables.
For this issue, AI models, including supervised brain emotional learning (BEL),
adaptive neuro-fuzzy inference system (ANFIS) and artificial neural networks
(ANNs), are compared in order to find the best model. The simulation of the
proposed system shows that it can be used successfully in prediction of major
cities ozone level.",Design of an Alarm System for Isfahan Ozone Level based on Artificial Intelligence Predictor Models,2015
"Sarath P R, Sunil Mandhan, Yoshiki Niwa",AI,2016,"This paper describes about information extraction system, which is an
extension of the system developed by team Hitachi for ""Disease/Disorder
Template filling"" task organized by ShARe/CLEF eHealth Evolution Lab 2014. In
this extension module we focus on extraction of numerical attributes and values
from discharge summary records and associating correct relation between
attributes and values. We solve the problem in two steps. First step is
extraction of numerical attributes and values, which is developed as a Named
Entity Recognition (NER) model using Stanford NLP libraries. Second step is
correctly associating the attributes to values, which is developed as a
relation extraction module in Apache cTAKES framework. We integrated Stanford
NER model as cTAKES pipeline component and used in relation extraction module.
Conditional Random Field (CRF) algorithm is used for NER and Support Vector
Machines (SVM) for relation extraction. For attribute value relation
extraction, we observe 95% accuracy using NER alone and combined accuracy of
87% with NER and SVM.",Numerical Atrribute Extraction from Clinical Texts,2016
"Mohit Yadav, Pankaj Malhotra, Lovekesh Vig, K Sriram, Gautam Shroff",AI,2016,"Machines of all kinds from vehicles to industrial equipment are increasingly
instrumented with hundreds of sensors. Using such data to detect anomalous
behaviour is critical for safety and efficient maintenance. However, anomalies
occur rarely and with great variety in such systems, so there is often
insufficient anomalous data to build reliable detectors. A standard approach to
mitigate this problem is to use one class methods relying only on data from
normal behaviour. Unfortunately, even these approaches are more likely to fail
in the scenario of a dynamical system with manual control input(s). Normal
behaviour in response to novel control input(s) might look very different to
the learned detector which may be incorrectly detected as anomalous. In this
paper, we address this issue by modelling time-series via Ordinary Differential
Equations (ODE) and utilising such an ODE model to simulate the behaviour of
dynamical systems under varying control inputs. The available data is then
augmented with data generated from the ODE, and the anomaly detector is
retrained on this augmented dataset. Experiments demonstrate that ODE-augmented
training data allows better coverage of possible control input(s) and results
in learning more accurate distinctions between normal and anomalous behaviour
in time-series.",ODE - Augmented Training Improves Anomaly Detection in Sensor Data from Machines,2016
"Tom Everitt, Marcus Hutter",AI,2016,"How can we design good goals for arbitrarily intelligent agents?
Reinforcement learning (RL) is a natural approach. Unfortunately, RL does not
work well for generally intelligent agents, as RL agents are incentivised to
shortcut the reward sensor for maximum reward -- the so-called wireheading
problem. In this paper we suggest an alternative to RL called value
reinforcement learning (VRL). In VRL, agents use the reward signal to learn a
utility function. The VRL setup allows us to remove the incentive to wirehead
by placing a constraint on the agent's actions. The constraint is defined in
terms of the agent's belief distributions, and does not require an explicit
specification of which actions constitute wireheading.",Avoiding Wireheading with Value Reinforcement Learning,2016
"Philipp Geiger, Katja Hofmann, Bernhard Schölkopf",AI,2016,"The amount of digitally available but heterogeneous information about the
world is remarkable, and new technologies such as self-driving cars, smart
homes, or the internet of things may further increase it. In this paper we
present preliminary ideas about certain aspects of the problem of how such
heterogeneous information can be harnessed by autonomous agents. After
discussing potentials and limitations of some existing approaches, we
investigate how \emph{experiments} can help to obtain a better understanding of
the problem. Specifically, we present a simple agent that integrates video data
from a different agent, and implement and evaluate a version of it on the novel
experimentation platform \emph{Malmo}. The focus of a second investigation is
on how information about the hardware of different agents, the agents' sensory
data, and \emph{causal} information can be utilized for knowledge transfer
between agents and subsequently more data-efficient decision making. Finally,
we discuss potential future steps w.r.t.\ theory and experimentation, and
formulate open questions.",Experimental and causal view on information integration in autonomous agents,2018
"Jagannath Roy, Kajal Chatterjee, Abhirup Bandhopadhyay, Samarjit Kar",AI,2016,"In this paper, a novel multiple criteria decision making (MCDM) methodology
is presented for assessing and prioritizing medical tourism destinations in
uncertain environment. A systematic evaluation and assessment method is
proposed by integrating rough number based AHP (Analytic Hierarchy Process) and
rough number based MABAC (Multi-Attributive Border Approximation area
Comparison). Rough number is used to aggregate individual judgments and
preferences to deal with vagueness in decision making due to limited data.
Rough AHP analyzes the relative importance of criteria based on their
preferences given by experts. Rough MABAC evaluates the alternative sites based
on the criteria weights. The proposed methodology is explained through a case
study considering different cities for healthcare service in India. The
validity of the obtained ranking for the given decision making problem is
established by testing criteria proposed by Wang and Triantaphyllou (2008)
along with further analysis and discussion.",Evaluation and selection of Medical Tourism sites: A rough AHP based MABAC approach,2016
"Mona Khaffaf, Arshia Khaffaf",AI,2016,"After an earthquake, disaster sites pose a multitude of health and safety
concerns. A rescue operation of people trapped in the ruins after an earthquake
disaster requires a series of intelligent behavior, including planning. For a
successful rescue operation, given a limited number of available actions and
regulations, the role of planning in rescue operations is crucial. Fortunately,
recent developments in automated planning by artificial intelligence community
can help different organization in this crucial task. Due to the number of
rules and regulations, we believe that a rule based system for planning can be
helpful for this specific planning problem. In this research work, we use logic
rules to represent rescue and related regular regulations, together with a
logic based planner to solve this complicated problem. Although this research
is still in the prototyping and modeling stage, it clearly shows that rule
based languages can be a good infrastructure for this computational task. The
results of this research can be used by different organizations, such as
Iranian Red Crescent Society and International Institute of Seismology and
Earthquake Engineering (IISEE).",Resource Planning For Rescue Operations,2016
Emanuel Diamant,AI,2016,"We are at the dawn of a new era, where advances in computer power, broadband
communication and digital sensor technologies have led to an unprecedented
flood of data inundating our surrounding. It is generally believed that means
such as Computational Intelligence will help to outlive these tough times.
However, these hopes are improperly high. Computational Intelligence is a
surprising composition of two mutually exclusive and contradicting constituents
that could be coupled only if you disregard and neglect their controversies:
""Computational"" implies reliance on data processing and ""Intelligence"" implies
reliance on information processing. Only those who are indifferent to
data-information discrepancy can believe that such a combination can be viable.
We do not believe in miracles, so we will try to share with you our
reservations.","You want to survive the data deluge: Be careful, Computational Intelligence will not serve you as a rescue boat",2016
"Jenna M. Reps, Uwe Aickelin, Richard B. Hubbard",AI,2016,"Purpose: To develop a framework for identifying and incorporating candidate
confounding interaction terms into a regularised cox regression analysis to
refine adverse drug reaction signals obtained via longitudinal observational
data. Methods: We considered six drug families that are commonly associated
with myocardial infarction in observational healthcare data, but where the
causal relationship ground truth is known (adverse drug reaction or not). We
applied emergent pattern mining to find itemsets of drugs and medical events
that are associated with the development of myocardial infarction. These are
the candidate confounding interaction terms. We then implemented a cohort study
design using regularised cox regression that incorporated and accounted for the
candidate confounding interaction terms. Results The methodology was able to
account for signals generated due to confounding and a cox regression with
elastic net regularisation correctly ranked the drug families known to be true
adverse drug reactions above those.",Refining adverse drug reaction signals by incorporating interaction variables identified using emergent pattern mining,2016
"Jiangang Ma, Le Sun, Hua Wang, Yanchun Zhang, Uwe Aickelin",AI,2016,"Uncertain data streams have been widely generated in many Web applications.
The uncertainty in data streams makes anomaly detection from sensor data
streams far more challenging. In this paper, we present a novel framework that
supports anomaly detection in uncertain data streams. The proposed framework
adopts an efficient uncertainty pre-processing procedure to identify and
eliminate uncertainties in data streams. Based on the corrected data streams,
we develop effective period pattern recognition and feature extraction
techniques to improve the computational efficiency. We use classification
methods for anomaly detection in the corrected data stream. We also empirically
show that the proposed approach shows a high accuracy of anomaly detection on a
number of real datasets.",Supervised Anomaly Detection in Uncertain Pseudoperiodic Data Streams,2016
Vladislav B Kovchegov,AI,2016,"In this paper we discuss methods of using the language of actions, formal
languages, and grammars for qualitative conceptual linguistic modeling of
companies as technological and human institutions. The main problem following
the discussion is the problem to find and describe a language structure for
external and internal flow of information of companies. We anticipate that the
language structure of external and internal base flows determine the structure
of companies. In the structure modeling of an abstract industrial company an
internal base flow of information is constructed as certain flow of words
composed on the theoretical parts-processes-actions language. The language of
procedures is found for an external base flow of information for an insurance
company. The formal stochastic grammar for the language of procedures is found
by statistical methods and is used in understanding the tendencies of the
health care industry. We present the model of human communications as a random
walk on the semantic tree","The languages of actions, formal grammars and qualitive modeling of companies",2016
Rohitash Chandra,AI,2017,"In the past, several models of consciousness have become popular and have led
to the development of models for machine consciousness with varying degrees of
success and challenges for simulation and implementations. Moreover, affective
computing attributes that involve emotions, behavior and personality have not
been the focus of models of consciousness as they lacked motivation for
deployment in software applications and robots. The affective attributes are
important factors for the future of machine consciousness with the rise of
technologies that can assist humans. Personality and affection hence can give
an additional flavor for the computational model of consciousness in humanoid
robotics. Recent advances in areas of machine learning with a focus on deep
learning can further help in developing aspects of machine consciousness in
areas that can better replicate human sensory perceptions such as speech
recognition and vision. With such advancements, one encounters further
challenges in developing models that can synchronize different aspects of
affective computing. In this paper, we review some existing models of
consciousnesses and present an affective computational model that would enable
the human touch and feel for robotic systems.",An affective computational model for machine consciousness,2017
"Junbo Zhang, Yu Zheng, Dekang Qi, Ruiyuan Li, Xiuwen Yi, Tianrui Li",AI,2017,"Forecasting the flow of crowds is of great importance to traffic management
and public safety, and very challenging as it is affected by many complex
factors, including spatial dependencies (nearby and distant), temporal
dependencies (closeness, period, trend), and external conditions (e.g., weather
and events). We propose a deep-learning-based approach, called ST-ResNet, to
collectively forecast two types of crowd flows (i.e. inflow and outflow) in
each and every region of a city. We design an end-to-end structure of ST-ResNet
based on unique properties of spatio-temporal data. More specifically, we
employ the residual neural network framework to model the temporal closeness,
period, and trend properties of crowd traffic. For each property, we design a
branch of residual convolutional units, each of which models the spatial
properties of crowd traffic. ST-ResNet learns to dynamically aggregate the
output of the three residual neural networks based on data, assigning different
weights to different branches and regions. The aggregation is further combined
with external factors, such as weather and day of the week, to predict the
final traffic of crowds in each and every region. We have developed a real-time
system based on Microsoft Azure Cloud, called UrbanFlow, providing the crowd
flow monitoring and forecasting in Guiyang City of China. In addition, we
present an extensive experimental evaluation using two types of crowd flows in
Beijing and New York City (NYC), where ST-ResNet outperforms nine well-known
baselines.",Predicting Citywide Crowd Flows Using Deep Spatio-Temporal Residual Networks,2017
"Daniel Meana-Llorián, Cristian González García, B. Cristina Pelayo G-Bustelo, Juan Manuel Cueva Lovelle, Nestor Garcia-Fernandez",AI,2017,"The Internet of Things is arriving to our homes or cities through fields
already known like Smart Homes, Smart Cities, or Smart Towns. The monitoring of
environmental conditions of cities can help to adapt the indoor locations of
the cities in order to be more comfortable for people who stay there. A way to
improve the indoor conditions is an efficient temperature control, however, it
depends on many factors like the different combinations of outdoor temperature
and humidity. Therefore, adjusting the indoor temperature is not setting a
value according to other value. There are many more factors to take into
consideration, hence the traditional logic based in binary states cannot be
used. Many problems cannot be solved with a set of binary solutions and we need
a new way of development. Fuzzy logic is able to interpret many states, more
than two states, giving to computers the capacity to react in a similar way to
people. In this paper we will propose a new approach to control the temperature
using the Internet of Things together its platforms and fuzzy logic regarding
not only the indoor temperature but also the outdoor temperature and humidity
in order to save energy and to set a more comfortable environment for their
users. Finally, we will conclude that the fuzzy approach allows us to achieve
an energy saving around 40% and thus, save money.",IoFClime: The fuzzy logic and the Internet of Things to control indoor temperature regarding the outdoor ambient conditions,2017
"Varun Raj Kompella, Laurenz Wiskott",AI,2017,"A compact information-rich representation of the environment, also called a
feature abstraction, can simplify a robot's task of mapping its raw sensory
inputs to useful action sequences. However, in environments that are
non-stationary and only partially observable, a single abstraction is probably
not sufficient to encode most variations. Therefore, learning multiple sets of
spatially or temporally local, modular abstractions of the inputs would be
beneficial. How can a robot learn these local abstractions without a teacher?
More specifically, how can it decide from where and when to start learning a
new abstraction? A recently proposed algorithm called Curious Dr. MISFA
addresses this problem. The algorithm is based on two underlying learning
principles called artificial curiosity and slowness. The former is used to make
the robot self-motivated to explore by rewarding itself whenever it makes
progress learning an abstraction; the later is used to update the abstraction
by extracting slowly varying components from raw sensory inputs. Curious Dr.
MISFA's application is, however, limited to discrete domains constrained by a
pre-defined state space and has design limitations that make it unstable in
certain situations. This paper presents a significant improvement that is
applicable to continuous environments, is computationally less expensive,
simpler to use with fewer hyper parameters, and stable in certain
non-stationary environments. We demonstrate the efficacy and stability of our
method in a vision-based robot simulator.",Intrinsically Motivated Acquisition of Modular Slow Features for Humanoids in Continuous and Non-Stationary Environments,2017
"Hyunmin Chae, Chang Mook Kang, ByeoungDo Kim, Jaekyum Kim, Chung Choo Chung, Jun Won Choi",AI,2017,"In this paper, we propose a new autonomous braking system based on deep
reinforcement learning. The proposed autonomous braking system automatically
decides whether to apply the brake at each time step when confronting the risk
of collision using the information on the obstacle obtained by the sensors. The
problem of designing brake control is formulated as searching for the optimal
policy in Markov decision process (MDP) model where the state is given by the
relative position of the obstacle and the vehicle's speed, and the action space
is defined as whether brake is stepped or not. The policy used for brake
control is learned through computer simulations using the deep reinforcement
learning method called deep Q-network (DQN). In order to derive desirable
braking policy, we propose the reward function which balances the damage
imposed to the obstacle in case of accident and the reward achieved when the
vehicle runs out of risk as soon as possible. DQN is trained for the scenario
where a vehicle is encountered with a pedestrian crossing the urban road.
Experiments show that the control agent exhibits desirable control behavior and
avoids collision without any mistake in various uncertain environments.",Autonomous Braking System via Deep Reinforcement Learning,2017
"Quoc Duy Vo, Jaya Thomas, Shinyoung Cho, Pradipta De, Bong Jun Choi, Lee Sael",AI,2017,"Business Intelligence and Analytics (BI&A) is the process of extracting and
predicting business-critical insights from data. Traditional BI focused on data
collection, extraction, and organization to enable efficient query processing
for deriving insights from historical data. With the rise of big data and cloud
computing, there are many challenges and opportunities for the BI. Especially
with the growing number of data sources, traditional BI\&A are evolving to
provide intelligence at different scales and perspectives - operational BI,
situational BI, self-service BI. In this survey, we review the evolution of
business intelligence systems in full scale from back-end architecture to and
front-end applications. We focus on the changes in the back-end architecture
that deals with the collection and organization of the data. We also review the
changes in the front-end applications, where analytic services and
visualization are the core components. Using a uses case from BI in Healthcare,
which is one of the most complex enterprises, we show how BI\&A will play an
important role beyond the traditional usage. The survey provides a holistic
view of Business Intelligence and Analytics for anyone interested in getting a
complete picture of the different pieces in the emerging next generation BI\&A
solutions.",Next Generation Business Intelligence and Analytics: A Survey,2017
"Fabio Guigou, Pierre Collet, Pierre Parrend",AI,2017,"The advent of the Big Data hype and the consistent recollection of event logs
and real-time data from sensors, monitoring software and machine configuration
has generated a huge amount of time-varying data in about every sector of the
industry. Rule-based processing of such data has ceased to be relevant in many
scenarios where anomaly detection and pattern mining have to be entirely
accomplished by the machine. Since the early 2000s, the de-facto standard for
representing time series has been the Symbolic Aggregate approXimation (SAX).In
this document, we present a few algorithms using this representation for
anomaly detection and motif discovery, also known as pattern mining, in such
data. We propose a benchmark of anomaly detection algorithms using data from
Cloud monitoring software.",Anomaly detection and motif discovery in symbolic representations of time series,2017
"Mahardhika Pratama, Eric Dimla, Chow Yin Lai, Edwin Lughofer",AI,2017,"As manufacturing processes become increasingly automated, so should tool
condition monitoring (TCM) as it is impractical to have human workers monitor
the state of the tools continuously. Tool condition is crucial to ensure the
good quality of products: Worn tools affect not only the surface quality but
also the dimensional accuracy, which means higher reject rate of the products.
Therefore, there is an urgent need to identify tool failures before it occurs
on the fly. While various versions of intelligent tool condition monitoring
have been proposed, most of them suffer from a cognitive nature of traditional
machine learning algorithms. They focus on the how to learn process without
paying attention to other two crucial issues: what to learn, and when to learn.
The what to learn and the when to learn provide self regulating mechanisms to
select the training samples and to determine time instants to train a model. A
novel tool condition monitoring approach based on a psychologically plausible
concept, namely the metacognitive scaffolding theory, is proposed and built
upon a recently published algorithm, recurrent classifier (rClass). The
learning process consists of three phases: what to learn, how to learn, when to
learn and makes use of a generalized recurrent network structure as a cognitive
component. Experimental studies with real-world manufacturing data streams were
conducted where rClass demonstrated the highest accuracy while retaining the
lowest complexity over its counterparts.",Metacognitive Learning Approach for Online Tool Condition Monitoring,2017
"Yangming Zhou, Jin-Kao Hao, Fred Glover",AI,2017,"Critical node problems involve identifying a subset of critical nodes from an
undirected graph whose removal results in optimizing a pre-defined measure over
the residual graph. As useful models for a variety of practical applications,
these problems are computational challenging. In this paper, we study the
classic critical node problem (CNP) and introduce an effective memetic
algorithm for solving CNP. The proposed algorithm combines a double
backbone-based crossover operator (to generate promising offspring solutions),
a component-based neighborhood search procedure (to find high-quality local
optima) and a rank-based pool updating strategy (to guarantee a healthy
population). Specially, the component-based neighborhood search integrates two
key techniques, i.e., two-phase node exchange strategy and node weighting
scheme. The double backbone-based crossover extends the idea of general
backbone-based crossovers. Extensive evaluations on 42 synthetic and real-world
benchmark instances show that the proposed algorithm discovers 21 new upper
bounds and matches 18 previous best-known upper bounds. We also demonstrate the
relevance of our algorithm for effectively solving a variant of the classic
CNP, called the cardinality-constrained critical node problem. Finally, we
investigate the usefulness of each key algorithmic component.",Memetic search for identifying critical nodes in sparse graphs,2017
